"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Apodemus flavicollis","Microtus agrestis","Myodes glareolus","Neomys fodiens","Sorex araneus","Sorex minutus"
"smallrodents_dec_2_SB_SampleID_1",266000,6713000,1989,107.999999769032,6.30833329819143,84,0.701666666666667,1,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_2",266000,6713000,1990,103.000000953674,6.06666668256123,105,0.594166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_3",266000,6713000,1991,92.3999987095596,5.29999995604158,110,0.268333333333333,1,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_4",266000,6713000,1992,100.400001652539,5.67500004234414,113,0.580833333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_5",266000,6713000,1993,84.3000022172926,4.71666678786277,110,0.179166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_6",266000,6713000,1994,85.8000007122754,4.549999995778,126,0.575833333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_7",266000,6713000,1995,97.0999985337257,5.37499992549419,157,-0.0808333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_8",266000,6713000,1996,75.3999996185301,4.00833328564961,141,-0.214166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_9",266000,6713000,1997,100.19999986887,5.43333332240582,124,-0.156666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_10",538000,6719000,1989,108.400001518428,6.18333339629074,142,0.701666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_11",538000,6719000,1990,95.1999992430208,5.39999996870755,127,0.594166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_12",538000,6719000,1991,89.7000007629394,4.88333336512248,131,0.268333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_13",538000,6719000,1992,94.7000004947185,5.1750000094374,170,0.580833333333333,1,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_14",538000,6719000,1993,75.0000002384188,3.94999998807908,118,0.179166666666667,0,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_15",538000,6719000,1994,80.0999987125396,3.96666663885117,123,0.575833333333333,0,1,0,0,1,0
"smallrodents_dec_2_SB_SampleID_16",538000,6719000,1995,92.8000022619964,4.91666675979893,157,-0.0808333333333333,0,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_17",538000,6719000,1996,70.3999991416929,3.49999996026356,137,-0.214166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_18",538000,6719000,1997,89.4000020027161,4.50833340485891,122,-0.156666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_19",362000,6739000,1988,90.5000028610232,4.55000011126201,178,-0.0133333333333333,0,1,1,1,1,1
"smallrodents_dec_2_SB_SampleID_20",362000,6739000,1989,104.400000281632,5.98333332501353,122,0.701666666666667,0,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_21",362000,6739000,1990,95.0000002384186,5.45833335320155,118,0.594166666666667,0,1,1,1,1,0
"smallrodents_dec_2_SB_SampleID_22",362000,6739000,1991,87.4999995231629,4.84166665871938,128,0.268333333333333,1,1,1,1,1,1
"smallrodents_dec_2_SB_SampleID_23",362000,6739000,1992,94.1000016480686,5.17500005786618,158,0.580833333333333,1,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_24",362000,6739000,1993,76.4000010490417,4.10833338896433,122,0.179166666666667,1,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_25",362000,6739000,1994,79.4000000953674,4.00000003973642,124,0.575833333333333,1,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_26",362000,6739000,1995,90.6000011861324,4.85000005116065,165,-0.0808333333333333,1,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_27",362000,6739000,1996,69.9000000953674,3.55833335717519,144,-0.214166666666667,1,1,1,1,1,0
"smallrodents_dec_2_SB_SampleID_28",362000,6739000,1997,90.7000023126603,4.74166676402092,122,-0.156666666666667,1,1,1,1,1,1
"smallrodents_dec_2_SB_SampleID_29",536000,6753000,1990,91.3000000119209,5.11666669944922,135,0.594166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_30",536000,6753000,1993,71.299999475479,3.67499997218449,130,0.179166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_31",536000,6753000,1994,78.3999998569487,3.83333335320154,148,0.575833333333333,0,1,0,0,1,0
"smallrodents_dec_2_SB_SampleID_32",536000,6753000,1995,89.4999980926512,4.68333323796589,173,-0.0808333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_33",536000,6753000,1996,69.099999666214,3.4249999721845,137,-0.214166666666667,0,1,0,0,1,0
"smallrodents_dec_2_SB_SampleID_34",536000,6753000,1997,86.2000001072883,4.26666667560736,141,-0.156666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_35",460000,6791000,1988,88.4999988079073,4.30833329757056,178,-0.0133333333333333,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_36",460000,6791000,1989,105.799999833107,5.99166668454806,142,0.701666666666667,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_37",460000,6791000,1990,91.5999998748302,5.17499998956919,130,0.594166666666667,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_38",460000,6791000,1991,86.4999986886977,4.68333328763643,135,0.268333333333333,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_39",460000,6791000,1992,90.8000002652405,4.8916666569809,183,0.580833333333333,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_40",460000,6791000,1993,72.6999993324279,3.77499997615814,153,0.179166666666667,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_41",460000,6791000,1994,77.5000009536742,3.78333338101704,152,0.575833333333333,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_42",460000,6791000,1995,89.2999992370605,4.69166660308838,168,-0.0808333333333333,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_43",460000,6791000,1996,68.7999987602234,3.43333327770233,141,-0.214166666666667,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_44",460000,6791000,1997,88.1000003814697,4.42500003178914,143,-0.156666666666667,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_45",369000,6796000,1988,88.7000004649163,4.37499997516474,177,-0.0133333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_46",369000,6796000,1989,104.800000965595,5.97500004867713,128,0.701666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_47",369000,6796000,1990,94.2000003606082,5.3583333157003,140,0.594166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_48",369000,6796000,1991,86.9000020027161,4.75000011920929,133,0.268333333333333,0,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_49",369000,6796000,1992,91.7999988496305,4.99999996771416,177,0.580833333333333,0,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_50",369000,6796000,1993,75.8000020980834,4.050000111262,134,0.179166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_51",369000,6796000,1994,78.600001811981,3.90833342075347,147,0.575833333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_52",369000,6796000,1995,89.8999994993211,4.79166665673256,172,-0.0808333333333333,1,1,1,0,1,1
"smallrodents_dec_2_SB_SampleID_53",369000,6796000,1996,68.5000007152557,3.42500001192092,144,-0.214166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_54",369000,6796000,1997,89.2999963760374,4.5999998251597,146,-0.156666666666667,1,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_55",623000,6840000,1988,81.8000004291537,3.76666667064032,176,-0.0133333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_56",623000,6840000,1989,102.100000023842,5.67500000198683,147,0.701666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_57",623000,6840000,1990,83.4000003114343,4.53333335928619,140,0.594166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_58",623000,6840000,1991,80.4000024795533,4.13333344459534,142,0.268333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_59",623000,6840000,1992,83.2999981343746,4.30833322554827,196,0.580833333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_60",623000,6840000,1993,63.1999981403352,3.06666654348374,158,0.179166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_61",623000,6840000,1994,72.6999986171721,3.37499998013178,168,0.575833333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_62",623000,6840000,1995,84.3000005483626,4.33333336313565,176,-0.0808333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_63",623000,6840000,1996,64.8000020980836,3.07500012715658,147,-0.214166666666667,0,1,0,0,1,0
"smallrodents_dec_2_SB_SampleID_64",432000,6860000,1997,84,4.13333336512248,154,-0.156666666666667,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_65",424000,6878000,1988,78.700000822544,3.59166670342286,183,-0.0133333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_66",424000,6878000,1989,96.8000008165836,5.35000003625949,149,0.701666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_67",424000,6878000,1990,82.199999988079,4.46666663388411,150,0.594166666666667,0,1,1,1,1,1
"smallrodents_dec_2_SB_SampleID_68",424000,6878000,1991,78.999999523163,4.10833330949148,144,0.268333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_69",424000,6878000,1992,80.6999996379019,4.16666665238639,206,0.580833333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_70",424000,6878000,1993,66.0999997854234,3.32499999801319,173,0.179166666666667,0,1,0,0,1,0
"smallrodents_dec_2_SB_SampleID_71",424000,6878000,1994,69.2000024318693,3.16666680574416,177,0.575833333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_72",424000,6878000,1995,81.4000008106231,4.15000003576278,176,-0.0808333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_73",424000,6878000,1996,62.8000000715255,2.98333333929379,162,-0.214166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_74",424000,6878000,1997,80.8000012636187,3.90000002582869,168,-0.156666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_75",368000,6901000,1988,73.4999983310698,3.25833322604496,176,-0.0133333333333333,0,1,1,1,1,1
"smallrodents_dec_2_SB_SampleID_76",368000,6901000,1989,89.999999500811,4.92499999019006,146,0.701666666666667,0,1,1,1,1,0
"smallrodents_dec_2_SB_SampleID_77",368000,6901000,1990,78.300000473857,4.18333334103227,154,0.594166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_78",368000,6901000,1991,72.3000013828278,3.66666668653489,125,0.268333333333333,0,0,1,0,1,0
"smallrodents_dec_2_SB_SampleID_79",368000,6901000,1992,74.9999999403954,3.80833331247171,185,0.580833333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_80",368000,6901000,1993,61.1000008583069,2.98333338896433,167,0.179166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_81",368000,6901000,1994,62.0999989509583,2.68333327770233,162,0.575833333333333,0,1,1,1,1,1
"smallrodents_dec_2_SB_SampleID_82",368000,6901000,1995,74,3.63333328564962,176,-0.0808333333333333,0,0,1,0,1,0
"smallrodents_dec_2_SB_SampleID_83",368000,6901000,1996,56.2999993562699,2.5333333114783,157,-0.214166666666667,0,0,1,0,1,0
"smallrodents_dec_2_SB_SampleID_84",368000,6901000,1997,74.8999999761581,3.49166666467984,148,-0.156666666666667,0,1,1,1,1,0
"smallrodents_dec_2_SB_SampleID_85",675000,6909000,1989,89.8000003695488,4.77500003079574,150,0.701666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_86",675000,6909000,1990,68.0000008940696,3.3916667252779,168,0.594166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_87",675000,6909000,1991,67.3000013828278,3.15833340088526,155,0.268333333333333,0,1,1,0,0,0
"smallrodents_dec_2_SB_SampleID_88",675000,6909000,1994,60.1000006198884,2.44999998807907,180,0.575833333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_89",675000,6909000,1995,72.9999986886979,3.52499990661939,187,-0.0808333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_90",675000,6909000,1996,54.1000008583069,2.25833340485891,151,-0.214166666666667,0,1,0,0,1,0
"smallrodents_dec_2_SB_SampleID_91",675000,6909000,1997,63.099998921156,2.56666664034128,186,-0.156666666666667,0,0,1,0,1,0
"smallrodents_dec_2_SB_SampleID_92",506000,6947000,1988,69.3999974727631,2.84999988476436,187,-0.0133333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_93",506000,6947000,1989,90.0999994054436,4.8416666171203,154,0.701666666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_94",506000,6947000,1990,73.1000000834465,3.75833334028721,143,0.594166666666667,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_95",506000,6947000,1991,70.6999971866608,3.45833319425583,150,0.268333333333333,0,1,1,0,1,0
"smallrodents_dec_2_SB_SampleID_96",506000,6947000,1992,73.0999979376793,3.58333320915699,206,0.580833333333333,0,1,1,0,1,0
